index	question	sentence	label
0	what website is linked in the tweet?	Lupita_Nyongo	not_entailment
1	what website is linked in the tweet?	instagram	entailment
2	when does he say kaine is able?	July 23 , 2016	not_entailment
3	when does he say kaine is able?	7 : 37 pm - jul 23 , 2016	entailment
4	where can you see girls doing that?	at the bar	entailment
5	where can you see girls doing that?	nicki	not_entailment
6	kaine took hundreds of thousands of dollars in what?	gifts	entailment
7	kaine took hundreds of thousands of dollars in what?	i don ' t know	not_entailment
8	who say he's gay because he watches rupaul's drag race?	Andrew Garfield	entailment
9	who say he's gay because he watches rupaul's drag race?	justin whang	not_entailment
10	what kind of contract did he have?	a non guaranteed contract	entailment
11	what kind of contract did he have?	edy tavares	not_entailment
12	what will senator rand paul do if he keeps obama plan?	If you like your college savings plan , you can keep it  But	entailment
13	what will senator rand paul do if he keeps obama plan?		not_entailment
14	what did the white people do?	stealing	entailment
15	what did the white people do?	i	not_entailment
16	at what age is he suing the obama administration?	15	not_entailment
17	at what age is he suing the obama administration?	15 years old	entailment
18	what are these memes based on?	worldcup # suarez	not_entailment
19	what are these memes based on?	the world cup	entailment
20	what does molly have little of after reading?	words	entailment
21	what does molly have little of after reading?	lolashoes	not_entailment
22	what airline experienced a debacle?	Jet Blue	not_entailment
23	what airline experienced a debacle?	jetblue	entailment
24	what show will she be closing?	the Victoria's Secret	not_entailment
25	what show will she be closing?	victoria ' s secret	entailment
26	tweet does not exist	hope someone gets to the bottom of it	not_entailment
27	tweet does not exist	tweet does not exist	entailment
28	in what direction did nicki minaj say she was looking?	to the right	entailment
29	in what direction did nicki minaj say she was looking?	2015	not_entailment
30	where did philae land?	comet	entailment
31	where did philae land?	rosetta	not_entailment
32	what friend of sage karam died in 2015?	Justin	entailment
33	what friend of sage karam died in 2015?	i can ' t find the words	not_entailment
34	what did coke celebrate to cause some to boycot them?	the diversity of our country	entailment
35	what did coke celebrate to cause some to boycot them?	tweeting	not_entailment
36	what kind of president did the message call for?	a woman president	entailment
37	what kind of president did the message call for?	hillary clinton	not_entailment
38	when was the goal for all evacuations to be completed?	tomorrow	entailment
39	when was the goal for all evacuations to be completed?	@ mevlut	not_entailment
40	what reports should we be sceptical of?	any report of me being aggressive	entailment
41	what reports should we be sceptical of?	@ jamilah	not_entailment
42	who will be arriving soon?	Investigators	entailment
43	who will be arriving soon?	blpolice	not_entailment
44	why is school canceled tomorrow?	damage across the district	entailment
45	why is school canceled tomorrow?	dr . romines	not_entailment
46	what do certain people cause?	death and destruction	entailment
47	what do certain people cause?	it ' s death and destruction	not_entailment
48	what makes this a good thing?	an actual TALK show host	entailment
49	what makes this a good thing?		not_entailment
50	where did this all take place?	chicago Mayor Rahm Emanuel's office	entailment
51	where did this all take place?	mayor rahm emanuel ' s office	not_entailment
52	who are the persian cheetahs playing?	the Bosnian Dragons	entailment
53	who are the persian cheetahs playing?	team melli	not_entailment
54	what were people protesting at rahm emanuel's office?	police handling of black men	entailment
55	what were people protesting at rahm emanuel's office?	# ferguson	not_entailment
56	how old was the child when his dad was deported?	edchat	not_entailment
57	how old was the child when his dad was deported?	3 years old	entailment
58	what were patients of seattle children's thrilled to receive	gifts	entailment
59	what were patients of seattle children's thrilled to receive	seattle children ' s	not_entailment
60	what length are julia louis-dreyfus's tweets sometimes?	Just when you thought	not_entailment
61	what length are julia louis-dreyfus's tweets sometimes?	short	entailment
62	what does sarah believe is outdated?	rules 4 friends and fam	entailment
63	what does sarah believe is outdated?	updating their rules	not_entailment
64	how long can you go to the game?	5 min	entailment
65	how long can you go to the game?	minion soccer	not_entailment
66	what is information food for?	the brain	entailment
67	what is information food for?	information is food for the brain	not_entailment
68	what can't they wait to welcome them too?	the movement house	entailment
69	what can't they wait to welcome them too?	welcome @ shailenewoodley and	not_entailment
70	what two examples does he mention in contrasting how blacks and whites are treated differently.	the coverage of # pumpkinfest riot	not_entailment
71	what two examples does he mention in contrasting how blacks and whites are treated differently.	pumpkinfest and ferguson	entailment
72	what hotel was the eating breakfast in bed record broken at?	Pudong Shangri La	not_entailment
73	what hotel was the eating breakfast in bed record broken at?	shangri la hotel	entailment
74	whose death was jeremy refering to?	Bob Welch	not_entailment
75	whose death was jeremy refering to?	bob welch died	entailment
76	when therese runs out of rope, is she taken?	you bring me home	entailment
77	when therese runs out of rope, is she taken?	i ' m not a larry fan	not_entailment
78	what does iran’s security depend on?	its own people	entailment
79	what does iran’s security depend on?	peoples of trumps regional	not_entailment
80	who should the ny jets sign as quaterback?	Le Bron	not_entailment
81	who should the ny jets sign as quaterback?	lebron	entailment
82	who were the tangerines sent to?	children in # Donetsk	entailment
83	who were the tangerines sent to?	darijo	not_entailment
84	how many years has president nieto been in office?	1st year	entailment
85	how many years has president nieto been in office?	1 president	not_entailment
86	what is our goal, according to this tweeter?	a Medicare for all , single payer system	entailment
87	what is our goal, according to this tweeter?	a medicare - for - all	not_entailment
88	what does lily-rose want to conquer?	the world , and myself	entailment
89	what does lily-rose want to conquer?	and herself	not_entailment
90	what did nba do to wizards' assistant coach?	Sidney Lowe has been fined $ 5,000	entailment
91	what did nba do to wizards' assistant coach?		not_entailment
